Date,EUR-USD,XAG-USD
2020-08-10 00:00:00+00:00,-0.00381971,0.03319237
2020-08-11 00:00:00+00:00,-0.00008521,-0.14255495
2020-08-12 00:00:00+00:00,0.00502770,0.02860180
2020-08-13 00:00:00+00:00,0.00182296,0.07111518
2020-08-14 00:00:00+00:00,0.00228513,-0.03981431
2020-08-17 00:00:00+00:00,0.00194060,0.04544586
2020-08-18 00:00:00+00:00,0.00602105,0.02221978
2020-08-19 00:00:00+00:00,-0.00857992,-0.04501216
2020-08-20 00:00:00+00:00,0.00215299,0.02877482
2020-08-21 00:00:00+00:00,-0.00615022,-0.02512929
2020-08-24 00:00:00+00:00,-0.00038140,0.00291671
2020-08-25 00:00:00+00:00,0.00339156,-0.00512224
2020-08-26 00:00:00+00:00,0.00054926,0.03475785
2020-08-27 00:00:00+00:00,-0.00164689,-0.01758799
2020-08-28 00:00:00+00:00,0.00702140,0.02020333
2020-08-31 00:00:00+00:00,0.00163625,0.00669136
2020-09-01 00:00:00+00:00,-0.00117282,0.00561608
2020-09-02 00:00:00+00:00,-0.00650004,-0.02624463
2020-09-03 00:00:00+00:00,-0.00033768,-0.03918473
2020-09-04 00:00:00+00:00,-0.00025335,0.01683069
2020-09-07 00:00:00+00:00,-0.00130973,0.00063318
2020-09-08 00:00:00+00:00,-0.00439970,-0.00910089
2020-09-09 00:00:00+00:00,0.00314439,0.01372976
2020-09-10 00:00:00+00:00,0.00165198,-0.00561392
2020-09-11 00:00:00+00:00,0.00198757,-0.00372648
2020-09-14 00:00:00+00:00,0.00228031,0.01410816
2020-09-15 00:00:00+00:00,-0.00214873,-0.00149056
2020-09-16 00:00:00+00:00,-0.00316669,0.00158493
2020-09-17 00:00:00+00:00,0.00360032,-0.00460007
2020-09-18 00:00:00+00:00,-0.00063307,-0.00955691
2020-09-21 00:00:00+00:00,-0.00696467,-0.06392446
2020-09-22 00:00:00+00:00,-0.00484570,-0.02358886
2020-09-23 00:00:00+00:00,-0.00418589,-0.10209676
2020-09-24 00:00:00+00:00,0.00145835,0.05811728
2020-09-25 00:00:00+00:00,-0.00364057,-0.01352137
2020-09-28 00:00:00+00:00,0.00365293,0.03398786
2020-09-29 00:00:00+00:00,0.00552368,0.02046267
2020-09-30 00:00:00+00:00,-0.00153302,-0.03728129
2020-10-01 00:00:00+00:00,0.00174862,0.01943743
2020-10-02 00:00:00+00:00,-0.00238420,-0.00340179
2020-10-05 00:00:00+00:00,0.00593029,0.01918129
2020-10-06 00:00:00+00:00,-0.00441089,-0.04344881
2020-10-07 00:00:00+00:00,0.00242822,0.02076941
2020-10-08 00:00:00+00:00,0.00012749,0.00382554
2020-10-09 00:00:00+00:00,0.00522648,0.05308122
2020-10-12 00:00:00+00:00,-0.00025389,-0.00154676
2020-10-13 00:00:00+00:00,-0.00601033,-0.03986097
2020-10-14 00:00:00+00:00,0.00025549,0.00049645
2020-10-15 00:00:00+00:00,-0.00327799,0.00266711
